bjd7,adm_nm,cent_lon,cent_lat,walk_min_to_nearest_station,n_stops,n_routes_mean,n_routes_median,n_stops_density,n_stops_with_bph,headway_mean_s_mean,headway_cv_mean,access_index
4812125,경상남도 창원시의창구 동읍,128.66953622937595,35.30787531864651,125.18167861191044,,,,,,,,-1.2861104368244816
4812131,경상남도 창원시의창구 북면,128.60637610799654,35.33104997348028,182.32410852331648,,,,,,,,-2.4180312861093998
4812132,경상남도 창원시의창구 대산면,128.70913339943357,35.34322158461545,173.81881274387263,,,,,,,,-2.2495518980782334
4812151,경상남도 창원시의창구 의창동,128.61256489599523,35.265174926223885,99.6011410445895,,,,,,,,-0.7793916316693821
4812152,경상남도 창원시의창구 팔룡동,128.63112849961828,35.23538703096632,61.9368922758387,,,,,,,,-0.03330945560334471
4812153,경상남도 창원시의창구 명곡동,128.6446241555862,35.25494577371305,63.12588031203256,,,,,,,,-0.05686183777898468
4812154,경상남도 창원시의창구 봉림동,128.68763975956384,35.24754526394645,36.16565115720274,,,,,,,,0.4771869509960899
4812351,경상남도 창원시성산구 반송동,128.66723385302217,35.23974921916592,28.32910172851822,,,,,,,,0.632419301082225
4812352,경상남도 창원시성산구 중앙동,128.6704075025763,35.21998385187359,13.314164856299048,,,,,,,,0.929846626498943
4812353,경상남도 창원시성산구 상남동,128.6870369696828,35.21816901962594,11.780305588848767,,,,,,,,0.960230481147541
4812354,경상남도 창원시성산구 사파동,128.70916596914847,35.221107322231774,10.775893230422104,,,,,,,,0.9801266474734263
4812355,경상남도 창원시성산구 가음정동,128.6946943965672,35.20825442369532,28.178775869122106,,,,,,,,0.6353970703983172
4812356,경상남도 창원시성산구 성주동,128.71635919809702,35.18524489612054,52.44055895355968,,,,,,,,0.15480116020197202
4812357,경상남도 창원시성산구 웅남동,128.63398925029782,35.19126261247411,74.08536222831837,,,,,,,,-0.27395561726365386
4812351,경상남도 창원시성산구 용지동,128.6860161317964,35.23113343713352,12.764584209623184,,,,,,,,0.9407331392583825
4812531,경상남도 창원시마산합포구 구산면,128.57863671226406,35.094466894245265,165.628832536861,,,,,,,,-2.0873185214801406
4812532,경상남도 창원시마산합포구 진동면,128.5082900075083,35.13253227701009,134.62329339706602,,,,,,,,-1.4731371460981995
4812533,경상남도 창원시마산합포구 진북면,128.46007051138668,35.149430544464,160.99758514316943,,,,,,,,-1.9955792396322476
4812534,경상남도 창원시마산합포구 진전면,128.4030945424789,35.130921209288566,234.57667131123975,,,,,,,,-3.4530899166212556
4812551,경상남도 창원시마산합포구 현동,128.55372523436804,35.15388219532557,81.00610450945956,,,,,,,,-0.4110469606436403
4812552,경상남도 창원시마산합포구 가포동,128.5749804447976,35.161578162354914,66.03580824952293,,,,,,,,-0.11450391053418171
4812553,경상남도 창원시마산합포구 월영동,128.5588057486094,35.1771218328226,46.45964584435761,,,,,,,,0.2732756502886455
4812554,경상남도 창원시마산합포구 문화동,128.55204728362938,35.18755524931693,37.75168303047076,,,,,,,,0.4457696215656496
4812557,경상남도 창원시마산합포구 완월동,128.5501081381085,35.19860834501563,30.324581915224822,,,,,,,,0.5928913070649928
4812558,경상남도 창원시마산합포구 자산동,128.56067786136865,35.204422651180536,15.61119693737515,,,,,,,,0.8843452624848905
4812564,경상남도 창원시마산합포구 합포동,128.58115937264532,35.211206156882355,12.068994840829506,,,,,,,,0.9545119041848865
4812565,경상남도 창원시마산합포구 산호동,128.58400494834245,35.21696739468112,20.606242174722052,,,,,,,,0.7853995953853239
4812556,경상남도 창원시마산합포구 반월중앙동,128.56344981550555,35.19287864814796,23.01201680077392,,,,,,,,0.7377441760737771
4812563,경상남도 창원시마산합포구 오동동,128.57437199013216,35.20383589536671,3.55729127203175,,,,,,,,1.123118222596486
4812561,경상남도 창원시마산합포구 교방동,128.5545880277079,35.21093815298086,23.890547011636745,,,,,,,,0.7203415793703455
4812725,경상남도 창원시마산회원구 내서읍,128.51346069605694,35.23065683031204,81.21752508976148,,,,,,,,-0.4152349408044891
4812751,경상남도 창원시마산회원구 회원1동,128.5738290536463,35.22034432068345,21.12500981767449,,,,,,,,0.7751234501128415
4812752,경상남도 창원시마산회원구 회원2동,128.5474459140995,35.21940667161302,37.11582527083781,,,,,,,,0.4583651772048484
4812755,경상남도 창원시마산회원구 회성동,128.55014292577192,35.23847470355265,55.65358340625458,,,,,,,,0.09115512042196477
4812756,경상남도 창원시마산회원구 양덕1동,128.58942274914435,35.23223437774188,43.33525625306272,,,,,,,,0.3351659431088595
4812757,경상남도 창원시마산회원구 양덕2동,128.58399456300307,35.225578915253,31.602238117727865,,,,,,,,0.5675825182005082
4812758,경상남도 창원시마산회원구 합성1동,128.57566057267096,35.24856480916602,63.01778248216398,,,,,,,,-0.054720553490227614
4812759,경상남도 창원시마산회원구 합성2동,128.59666081615586,35.23900312830515,56.33288296195487,,,,,,,,0.07769903654175059
4812760,경상남도 창원시마산회원구 구암1동,128.58517996971798,35.25998317024594,81.15085858561278,,,,,,,,-0.41391435982618896
4812761,경상남도 창원시마산회원구 구암2동,128.59760957250623,35.24895530743713,69.97597809147578,,,,,,,,-0.1925538009701475
4812762,경상남도 창원시마산회원구 봉암동,128.60484357804444,35.22158548054168,44.47190620205137,,,,,,,,0.3126503136966408
4812754,경상남도 창원시마산회원구 석전동,128.57136457662966,35.232696099227404,39.508343853817856,,,,,,,,0.4109723437083478
4812954,경상남도 창원시진해구 여좌동,128.66257148755517,35.16762102831455,63.577484247936496,,,,,,,,-0.06580755309878007
4812955,경상남도 창원시진해구 태백동,128.67421116648975,35.15785179973553,45.42804213272812,,,,,,,,0.29371044368478777
4812956,경상남도 창원시진해구 경화동,128.68208240237004,35.16089642204486,37.92185849381303,,,,,,,,0.4423986561500645
4812957,경상남도 창원시진해구 병암동,128.69161662087313,35.16063332155431,27.62629494888563,,,,,,,,0.6463410339892487
4812958,경상남도 창원시진해구 석동,128.70280443602425,35.16066874529432,18.10846892664549,,,,,,,,0.8348773935935453
4812959,경상남도 창원시진해구 이동,128.6971205751791,35.15031932895285,16.220034687405693,,,,,,,,0.8722849398111826
4812960,경상남도 창원시진해구 자은동,128.72276004037144,35.15238297292447,15.210239973934607,,,,,,,,0.8922877239323294
4812961,경상남도 창원시진해구 덕산동,128.70546990952465,35.143238189517646,11.988317544624817,,,,,,,,0.9561100216219574
4812962,경상남도 창원시진해구 풍호동,128.70828447496194,35.12375736040704,39.29575047084525,,,,,,,,0.41518355563930337
4812963,경상남도 창원시진해구 웅천동,128.74487689725268,35.10529157930038,78.5535258929168,,,,,,,,-0.3624644121787039
4812964,경상남도 창원시진해구 웅동1동,128.77803963507722,35.13669403599597,84.29394256846936,,,,,,,,-0.476174965417599
4812965,경상남도 창원시진해구 웅동2동,128.81329123726422,35.10130927430854,144.18921593432822,,,,,,,,-1.662626238167948
4812953,경상남도 창원시진해구 충무동,128.64712697544968,35.14543326201657,77.14996894032898,,,,,,,,-0.33466168519883777
