bjd7,adm_nm,n_stops,n_routes_mean,n_stops_density,walk_min_to_nearest_station,access_index_no_headway
4812125,경상남도 창원시의창구 동읍,169,5.609589041095891,2.8551930345811227,,-0.7095202888252407
4812131,경상남도 창원시의창구 북면,214,5.11578947368421,2.874473661064291,,-0.7776534058658033
4812132,경상남도 창원시의창구 대산면,111,3.571428571428572,3.3639820705092283,,-0.957035010270875
4812151,경상남도 창원시의창구 의창동,62,10.017857142857142,8.139997325575127,,0.41802942158705503
4812152,경상남도 창원시의창구 팔룡동,108,7.260869565217392,7.401672842325946,,0.08746543185017268
4812153,경상남도 창원시의창구 명곡동,39,10.096774193548388,5.623579928204236,,0.18056414932798476
4812154,경상남도 창원시의창구 봉림동,70,6.415384615384616,5.529212833477975,,-0.20364582273243514
4812351,경상남도 창원시성산구 반송동,61,6.105263157894737,31.803951984244307,,0.9803040680244124
4812352,경상남도 창원시성산구 중앙동,38,7.184210526315789,8.218175868031084,,0.1491270176224707
4812353,경상남도 창원시성산구 상남동,17,11.714285714285714,14.390142475539868,,0.9456024483452867
4812354,경상남도 창원시성산구 사파동,37,7.54054054054054,5.704754599683553,,-0.05270064442588711
4812355,경상남도 창원시성산구 가음정동,37,12.0,12.587975076822602,,0.87178914599921
4812356,경상남도 창원시성산구 성주동,74,6.018518518518518,2.8537892350917624,,-0.6541981781433881
4812357,경상남도 창원시성산구 웅남동,113,4.086956521739131,2.8691162839793893,,-0.9492958391765729
4812351,경상남도 창원시성산구 용지동,61,6.105263157894737,23.102968884921967,,0.7466959282852078
4812531,경상남도 창원시마산합포구 구산면,142,3.622047244094488,2.742777599438882,,-1.063223304581935
4812532,경상남도 창원시마산합포구 진동면,67,6.19672131147541,1.9853997959293983,,-0.8244961875036307
4812533,경상남도 창원시마산합포구 진북면,97,2.2873563218390807,2.082698030615934,,-1.5258747797870789
4812534,경상남도 창원시마산합포구 진전면,109,3.1372549019607843,1.3842540039793547,,-1.5076343476516245
4812551,경상남도 창원시마산합포구 현동,53,10.090909090909092,2.6621144964628214,,-0.26907801554590993
4812552,경상남도 창원시마산합포구 가포동,14,11.416666666666666,2.5907515771353045,,-0.1794170972302626
4812553,경상남도 창원시마산합포구 월영동,35,14.235294117647058,13.115651408370663,,1.0476158277787766
4812554,경상남도 창원시마산합포구 문화동,18,19.125,9.655889029085412,,1.0922998122177179
4812557,경상남도 창원시마산합포구 완월동,16,10.6875,6.439163903689746,,0.31661399413443203
4812558,경상남도 창원시마산합포구 자산동,4,3.5,3.4070871761570483,,-0.9641707327888747
4812564,경상남도 창원시마산합포구 합포동,11,20.6,19.161801946591957,,1.6411296381196647
4812565,경상남도 창원시마산합포구 산호동,10,20.9,11.453442976629235,,1.2887338494910656
4812556,경상남도 창원시마산합포구 반월중앙동,19,25.61111111111111,17.33006610551845,,1.7621682322620056
4812563,경상남도 창원시마산합포구 오동동,36,17.933333333333334,20.496616545401157,,1.567678290453573
4812561,경상남도 창원시마산합포구 교방동,16,6.466666666666667,5.342653209030464,,-0.21923500550103397
4812725,경상남도 창원시마산회원구 내서읍,151,5.958041958041958,2.6853277023912367,,-0.6960912692186632
4812751,경상남도 창원시마산회원구 회원1동,13,10.76923076923077,19.13357786339416,,1.0776977188274823
4812752,경상남도 창원시마산회원구 회원2동,13,2.8181818181818183,2.84058082660019,,-1.2206274556633603
4812755,경상남도 창원시마산회원구 회성동,23,11.391304347826088,2.7008634622794143,,-0.15841747540621787
4812756,경상남도 창원시마산회원구 양덕1동,11,15.545454545454543,10.851805756091531,,0.9915299865644832
4812757,경상남도 창원시마산회원구 양덕2동,23,14.782608695652174,13.613496261675818,,1.1065749377679595
4812758,경상남도 창원시마산회원구 합성1동,15,12.153846153846152,3.7040140863596656,,0.07868451485153172
4812759,경상남도 창원시마산회원구 합성2동,12,16.272727272727273,4.718136561611792,,0.4789551068236463
4812760,경상남도 창원시마산회원구 구암1동,18,8.333333333333334,5.188034842031169,,-0.03127355544314442
4812761,경상남도 창원시마산회원구 구암2동,13,17.083333333333332,17.027588154980453,,1.3917447180927498
4812762,경상남도 창원시마산회원구 봉암동,22,7.176470588235294,3.898299861471967,,-0.3309873099818399
4812754,경상남도 창원시마산회원구 석전동,19,17.166666666666668,9.08282734661332,,0.9555862590593581
4812954,경상남도 창원시진해구 여좌동,25,6.0,5.319851511974279,,-0.2817378429046619
4812955,경상남도 창원시진해구 태백동,19,5.933333333333334,15.57484311851372,,0.44019911374189
4812956,경상남도 창원시진해구 경화동,23,4.0,7.569591071995547,,-0.3625541580976477
4812957,경상남도 창원시진해구 병암동,8,7.666666666666667,6.489974314297085,,0.04481768730780093
4812958,경상남도 창원시진해구 석동,13,4.083333333333333,5.762204127872102,,-0.5267797807812962
4812959,경상남도 창원시진해구 이동,16,5.615384615384615,17.71153256168672,,0.4886259129944108
4812960,경상남도 창원시진해구 자은동,24,2.958333333333333,4.414723145488196,,-0.9268890219437715
4812961,경상남도 창원시진해구 덕산동,19,3.5789473684210527,7.830446404396657,,-0.4213002259508581
4812962,경상남도 창원시진해구 풍호동,51,4.622222222222222,5.955219347279332,,-0.41212876357050326
4812963,경상남도 창원시진해구 웅천동,95,2.681159420289855,3.373717292944257,,-1.1559509629967528
4812964,경상남도 창원시진해구 웅동1동,43,3.3846153846153846,1.3290900666284016,,-1.47159501775295
4812965,경상남도 창원시진해구 웅동2동,90,3.548387096774193,5.896306470213067,,-0.6148802025846469
4812953,경상남도 창원시진해구 충무동,40,6.914285714285715,2.208516373967488,,-0.6818415092034595
