bjd7,adm_nm,area_km2,n_factories,emp_sum,factories_per_km2,emp_per_km2
4812125,경상남도 창원시의창구 동읍,59.19039376782226,86,1176.0,1.4529384673016363,19.86808880868284
4812131,경상남도 창원시의창구 북면,74.44841220801628,153,1286.0,2.0551143464618526,17.273706206208775
4812132,경상남도 창원시의창구 대산면,32.99660868382607,238,3052.0,7.212862457488256,92.4943538666141
4812151,경상남도 창원시의창구 의창동,7.616710119203808,0,0.0,0.0,0.0
4812152,경상남도 창원시의창구 팔룡동,14.591296089501496,0,0.0,0.0,0.0
4812153,경상남도 창원시의창구 명곡동,6.935084145314847,0,0.0,0.0,0.0
4812154,경상남도 창원시의창구 봉림동,12.66002993702247,0,0.0,0.0,0.0
4812351,경상남도 창원시성산구 반송동,1.9180006318151728,0,0.0,0.0,0.0
4812352,경상남도 창원시성산구 중앙동,4.623897153116543,11,51.0,2.3789456460089977,11.029657086041716
4812353,경상남도 창원시성산구 상남동,1.1813642588248396,6,73.0,5.078873814896424,61.792964747906495
4812354,경상남도 창원시성산구 사파동,6.48581798804324,0,0.0,0.0,0.0
4812355,경상남도 창원시성산구 가음정동,2.9393130963633403,2,3215.0,0.6804310852336541,1093.792969513099
4812356,경상남도 창원시성산구 성주동,25.930436309050187,129,10738.0,4.974848801714018,414.1079568434506
4812357,경상남도 창원시성산구 웅남동,39.38494951597847,396,8664.0,10.054602198724233,219.98250871148167
4812351,경상남도 창원시성산구 용지동,2.640353294152222,0,0.0,0.0,0.0
4812531,경상남도 창원시마산합포구 구산면,51.77233474163213,13,135.0,0.25109935769510894,2.6075702529876694
4812532,경상남도 창원시마산합포구 진동면,33.74635181154343,45,403.0,1.333477474877954,11.942031608351455
4812533,경상남도 창원시마산합포구 진북면,46.574202584382036,241,4501.0,5.1745384059632995,96.64148284332286
4812534,경상남도 창원시마산합포구 진전면,78.74277385989463,42,634.0,0.5333822767626871,8.051532463512943
4812551,경상남도 창원시마산합포구 현동,19.908985909667535,1,1541.0,0.0502285754049589,77.40223469904166
4812552,경상남도 창원시마산합포구 가포동,5.40383729708286,17,407.0,3.145912629378584,75.31684942100492
4812553,경상남도 창원시마산합포구 월영동,2.6685674169155122,2,9.0,0.7494657947640379,3.3725960764381706
4812554,경상남도 창원시마산합포구 문화동,1.8641473556479893,2,7.0,1.072876558787268,3.755067955755438
4812557,경상남도 창원시마산합포구 완월동,2.4847946471484814,0,0.0,0.0,0.0
4812558,경상남도 창원시마산합포구 자산동,1.174023379264312,1,3.0,0.8517717940392621,2.555315382117786
4812564,경상남도 창원시마산합포구 합포동,0.5740587461794749,0,0.0,0.0,0.0
4812565,경상남도 창원시마산합포구 산호동,0.8730999071986487,23,175.0,26.34291884624724,200.43525209101162
4812556,경상남도 창원시마산합포구 반월중앙동,1.096360503434536,0,0.0,0.0,0.0
4812563,경상남도 창원시마산합포구 오동동,1.756387446691896,10,146.0,5.6935045959447645,83.12516710079356
4812561,경상남도 창원시마산합포구 교방동,2.994766714963993,2,11.0,0.667831651128808,3.673074081208444
4812725,경상남도 창원시마산회원구 내서읍,56.23149825086047,299,3080.0,5.317304523278012,54.77357167791397
4812751,경상남도 창원시마산회원구 회원1동,0.6794338253312908,0,0.0,0.0,0.0
4812752,경상남도 창원시마산회원구 회원2동,4.57652881349598,0,0.0,0.0,0.0
4812755,경상남도 창원시마산회원구 회성동,8.51579516003707,6,31.0,0.704573077116369,3.640294231767906
4812756,경상남도 창원시마산회원구 양덕1동,1.0136561828730928,0,0.0,0.0,0.0
4812757,경상남도 창원시마산회원구 양덕2동,1.689499857927658,0,0.0,0.0,0.0
4812758,경상남도 창원시마산회원구 합성1동,4.049660625006455,0,0.0,0.0,0.0
4812759,경상남도 창원시마산회원구 합성2동,2.5433769971042564,0,0.0,0.0,0.0
4812760,경상남도 창원시마산회원구 구암1동,3.469521803163684,0,0.0,0.0,0.0
4812761,경상남도 창원시마산회원구 구암2동,0.763466903338133,0,0.0,0.0,0.0
4812762,경상남도 창원시마산회원구 봉암동,5.643485822481849,494,4872.0,87.53455143487052,863.2962238677919
4812754,경상남도 창원시마산회원구 석전동,2.091859646223977,6,61.0,2.868261267351574,29.16065621807434
4812954,경상남도 창원시진해구 여좌동,4.69937928600607,2,7.0,0.42558812095794235,1.489558423352798
4812955,경상남도 창원시진해구 태백동,1.2199159795975612,0,0.0,0.0,0.0
4812956,경상남도 창원시진해구 경화동,3.0384732518894952,11,81.0,3.6202392083456965,26.65812507963649
4812957,경상남도 창원시진해구 병암동,1.2326705180290782,0,0.0,0.0,0.0
4812958,경상남도 창원시진해구 석동,2.256081129982584,5,95.0,2.2162323568738853,42.10841478060382
4812959,경상남도 창원시진해구 이동,0.9033662075415723,10,141.0,11.069707851054199,156.0828806998642
4812960,경상남도 창원시진해구 자은동,5.4363544913405875,3,18.0,0.5518403931860245,3.311042359116147
4812961,경상남도 창원시진해구 덕산동,2.4264261599864647,1,3.0,0.41212875812613986,1.2363862743784195
4812962,경상남도 창원시진해구 풍호동,8.563916293578602,6,172.0,0.700614040856392,20.084269171216572
4812963,경상남도 창원시진해구 웅천동,28.15885023878012,3,24.0,0.10653844082981863,0.852307526638549
4812964,경상남도 창원시진해구 웅동1동,32.352961683839226,0,0.0,0.0,0.0
4812965,경상남도 창원시진해구 웅동2동,15.263792758171844,0,0.0,0.0,0.0
4812953,경상남도 창원시진해구 충무동,18.111706334394082,1,1.0,0.0552129093491872,0.0552129093491872
