station_id,headway_mean_s,headway_cv,n_headways,BPH
CWB379000951,120.07407407407408,,27.0,29.98149290561382
CWB379001031,117.55555555555556,,27.0,30.623818525519848
CWB379001107,83.92857142857143,,28.0,42.8936170212766
CWB379001114,113.75,,28.0,31.64835164835165
CWB379001139,82.66666666666667,,27.0,43.54838709677419
CWB379001173,83.07692307692308,,26.0,43.33333333333333
CWB379001224,77.32142857142857,,28.0,46.55889145496536
CWB379001228,122.03571428571429,,28.0,29.499561018437223
CWB379001246,77.85185185185185,,27.0,46.241674595623216
CWB379001284,77.24137931034483,,29.0,46.60714285714286
CWB379001312,118.125,,24.0,30.476190476190474
CWB379001313,79.36666666666666,,30.0,45.359092818143644
CWB379001328,82.41379310344827,,29.0,43.68200836820084
CWB379001331,112.6,,25.0,31.97158081705151
CWB379001344,103.79166666666667,,24.0,34.68486551585708
CWB379001347,78.35483870967742,,31.0,45.944833264717985
CWB379001376,78.59375,,32.0,45.8051689860835
CWB379001392,77.4074074074074,,27.0,46.50717703349282
CWB379001394,99.58333333333333,,24.0,36.15062761506276
CWB379001418,83.9375,,32.0,42.88905435591958
