park_id,upj_code,area_m2,lat,lon
248950,25,15312.243999732244,35.26688706831728,128.3709043288539
248890,29,26449.709920648973,35.25753481820274,128.8251418988942
448050,D,9910.096613322386,35.286374747039766,128.76762657940048
248AW0,23,38273.32290373896,35.36043777441371,128.4585917528883
248830,25,2384.0560357045383,35.26240251345814,128.7698768985957
448110,25,96.81787276646915,35.39150563154347,128.7233584559086
248110,28,28471.201068877486,35.135170464941524,128.47991183701336
348010,J,9735.193905636086,35.15864797070979,128.5506769744713
248080,25,37547.92524887492,35.37179134961497,128.47799537140122
448400,D,7992.468296105906,35.31379902056663,128.36320083458108
226100,29,12840.625728225752,35.12628578084702,128.85053933177946
248150,31,3400.0445124654734,35.11216017378374,128.72655371293396
226300,30,19339.444920584916,35.14784420729177,128.82142812990298
448790,30,20742.972766873816,35.36718349308161,128.45599560392495
448690,29,13136.643783069767,35.30795002307979,128.50531909125533
226011,33,18268.2492529357,35.13833208387534,128.81974751892892
448070,28,4458.776011144904,35.14145140476705,128.47773049349055
126011,28,33184.903662257624,35.09496709231611,128.84765882174568
226012,27,108052.40017400544,35.15131993827405,128.81583212731695
448650,29,3240.299121438175,35.281631087035336,128.72818108599026
248A00,31,15881.157487708782,35.31415452475369,128.602080066101
448410,D,4737.998254306964,35.269892924659906,128.47103194841776
226180,31,8246.61770474684,35.15346764996402,128.83497655544429
248680,25,2576.17981541225,35.18462291266134,128.70778973904095
448420,D,3398.032559819417,35.23719404074395,128.40692445788284
248510,25,55841.27765235781,35.316887176582455,128.74375903856702
248360,31,218876.04507457194,35.11784506630481,128.5848631980834
248800,23,5830.43236112845,35.20609907421731,128.6499424625372
248650,30,7865.044686160952,35.33877923290806,128.46870314432533
226220,29,24890.55584688649,35.15371772683449,128.81727659476215
448770,30,10995.620171416283,35.319596685213476,128.53920107938353
248460,11,60451.761007408146,35.15015231387348,128.39165296706076
248070,28,13483.31493641458,35.117125036300784,128.78298542729397
248930,29000,10224.522094631884,35.32834007295506,128.53805781958002
248720,24,36613.93182089409,35.27911920670332,128.7340376157752
448780,30,8038.979317878576,35.408495887542834,128.81320482723083
248A70,25,3543.056016449897,35.089323845483115,128.79474421226826
248320,31,49578.739328651136,35.04898754050012,128.47657599838936
248540,31,10778.0639460553,35.30698700327824,128.36295497220704
248AC0,26,6404.048904423282,35.3565590074873,128.51128433516584
226200,29,22350.99401957732,35.141656290245386,128.8484374511823
248AF0,25,17991.84457855224,35.304803772740925,128.50483327642138
248AH0,25,23138.51339210293,35.107075196623185,128.7197046335631
248AJ0,28,1750.916261932517,35.20297628027533,128.65477556283446
248910,24000,22117.074627508024,35.259964960518055,128.8124252730434
248AG0,25,15514.885961642814,35.32235214329404,128.7458759472799
248920,25000,16321.064175805699,35.288035677738364,128.81023521912772
248B20,30,69101.5435671904,35.26098417099045,128.53504699457375
226310,31,29411.11894869959,35.13616386480197,128.8200122318736
248B60,23,136641.22761591114,35.28262487622804,128.72432863091905
248850,29,59735.43033941799,35.209593924172026,128.84152337559684
448550,29,13546.187931420052,35.32189225042245,128.75294601024044
248AM0,31,5010.884936403623,35.23138331465756,128.77471686833687
248880,25,15044.25002531663,35.31559240453498,128.75920433831794
226280,16,40400.8506215618,35.152342172402044,128.82701376076403
248A10,22,7106.508404577876,35.33687310690228,128.53367239203996
248380,24,6606.405530950752,35.383893170000206,128.72606096752224
248640,24,2452.279285185861,35.28917447340128,128.79915643038436
248A50,24,2691.123445476964,35.29213770737322,128.79411452041543
248AK0,28,1657.6600693851665,35.222856572203796,128.83820515751822
248AX0,52,25160.915957121328,35.255552557199984,128.83201522276246
248240,21,6619.446377097436,35.21561946111174,128.83416073021695
226320,20,11706.649337743458,35.140796120980646,128.8279828726836
248B90,25,954322.4323263225,35.03214757178201,128.48576241545948
148040,31,1611310.6590279166,35.10518319407328,128.71034409157352
248580,29,2688.640598669159,35.2695271831947,128.49890655983845
248960,26,28507.122738003243,35.27129056528551,128.83338585332484
348020,,7510.925649602706,35.18899199112445,128.57093996780037
